,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
2650,4.50E+07,Amen Ra Films,USA,Stephen Norrington,Action,70087718,Blade,R,21/08/1998,120,7.1,Wesley Snipes,206719,David S. Goyer,1998
2651,2.50E+07,Midwinter Productions Inc.,USA,Ronny Yu,Comedy,32383850,Bride of Chucky,R,16/10/1998,89,5.4,Jennifer Tilly,42757,Don Mancini,1998
2653,9.00E+07,Universal Pictures,USA,Martin Brest,Drama,44619100,Meet Joe Black,PG-13,13/11/1998,178,7.1,Brad Pitt,180700,Ron Osborn,1998
2654,4.80E+07,DiNovi Pictures,USA,Griffin Dunne,Comedy,46683377,Practical Magic,PG-13,16/10/1998,104,6.2,Sandra Bullock,60149,Alice Hoffman,1998
2655,6.00E+07,Universal Pictures,USA,Harold Becker,Action,32940507,Mercury Rising,R,03/04/1998,111,6.1,Bruce Willis,57649,Ryne Douglas Pearson,1998
2656,5.20E+07,Fox 2000 Pictures,USA,Terrence Malick,Drama,36400491,The Thin Red Line,R,15/01/1999,170,7.6,Jim Caviezel,148812,James Jones,1998
2657,2.70E+07,Mystery Clock Cinema,Australia,Alex Proyas,Mystery,14378331,Ciudad en tinieblas,R,27/02/1998,100,7.7,Rufus Sewell,166822,Alex Proyas,1998
2658,2.00E+07,Mandalay Entertainment,USA,John McNaughton,Crime,29753944,Wild Things,R,20/03/1998,108,6.5,Kevin Bacon,95388,Stephen Peters,1998
2659,5.50E+07,FGM Entertainment,UK,John Frankenheimer,Action,41616262,Ronin,R,25/09/1998,122,7.3,Robert De Niro,152869,J.D. Zeik,1998
2660,18500000,Fear and Loathing LLC,USA,Terry Gilliam,Adventure,10680275,Fear and Loathing in Las Vegas,R,22/05/1998,118,7.7,Johnny Depp,226427,Hunter S. Thompson,1998
2661,2.50E+07,Universal Pictures,USA,John Madden,Comedy,100317794,Shakespeare in Love,R,08/01/1999,123,7.2,Gwyneth Paltrow,187035,Marc Norman,1998
2662,3.30E+07,New Line Cinema,USA,Brett Ratner,Action,141153686,Rush Hour,PG-13,18/09/1998,98,6.9,Jackie Chan,201905,Ross LaManna,1998
2664,2.00E+07,Robert Simonds Productions,USA,Frank Coraci,Comedy,161491646,The Waterboy,PG-13,06/11/1998,90,6.1,Adam Sandler,127466,Tim Herlihy,1998
2665,7.50E+07,Paramount Pictures,USA,Mimi Leder,Action,140464664,Deep Impact,PG-13,08/05/1998,120,6.1,Robert Duvall,142094,Bruce Joel Rubin,1998
2666,8.00E+07,New Line Cinema,USA,Stephen Hopkins,Action,69117629,Lost in Space,PG-13,03/04/1998,130,5.1,Gary Oldman,61386,Irwin Allen,1998
2667,1.20E+08,Pixar Animation Studios,USA,John Lasseter,Animation,162798565,A Bug's Life,G,25/11/1998,95,7.2,Kevin Spacey,226736,John Lasseter,1998
2668,9.00E+06,American Empirical Pictures,USA,Wes Anderson,Comedy,17105219,Rushmore,R,19/02/1999,93,7.7,Jason Schwartzman,144975,Wes Anderson,1998
2669,7.00E+07,DreamWorks Animation,USA,Brenda Chapman,Animation,101217900,The Prince of Egypt,PG,18/12/1998,99,7,Val Kilmer,98359,Philip LaZebnik,1998
2670,1.50E+07,Dimension Films,USA,Robert Rodriguez,Horror,40064955,The Faculty,R,25/12/1998,104,6.4,Jordana Brewster,96886,David Wechter,1998
2671,9.00E+07,Touchstone Pictures,USA,Tony Scott,Action,111549836,Enemy of the State,R,20/11/1998,132,7.3,Will Smith,199848,David Marconi,1998
2672,8.50E+07,Polygram Filmed Entertainment,USA,Vincent Ward,Drama,55485043,What Dreams May Come,PG-13,02/10/1998,113,7,Robin Williams,88728,Richard Matheson,1998
2673,4.80E+07,Universal Pictures,USA,Steven Soderbergh,Crime,37562568,Out of Sight,R,26/06/1998,123,7,George Clooney,75099,Elmore Leonard,1998
2674,2.00E+07,Film Office,USA,John Carpenter,Action,20241395,Vampires,R,30/10/1998,108,6.1,James Woods,45366,John Steakley,1998
2675,6.50E+07,TriStar Pictures,USA,Martin Campbell,Action,94095523,The Mask of Zorro,PG-13,17/07/1998,136,6.7,Antonio Banderas,144796,Johnston McCulley,1998
2676,3.50E+07,United Artists Corporation,USA,Randall Wallace,Action,56968902,The Man in the Iron Mask,PG-13,13/03/1998,132,6.5,Leonardo DiCaprio,134842,Alexandre Dumas,1998
2677,2.60E+07,Twentieth Century Fox Film Corporation,USA,Andy Tennant,Comedy,65705771,Ever After: A Cinderella Story,PG-13,31/07/1998,121,7,Drew Barrymore,61035,Susannah Grant,1998
2678,1.80E+07,Juno Pix,USA,Frank Coraci,Comedy,80245725,The Wedding Singer,PG-13,13/02/1998,95,6.8,Adam Sandler,116558,Tim Herlihy,1998
2679,6.00E+07,Universal Pictures,USA,Gus Van Sant,Horror,21456130,Psycho,R,04/12/1998,105,4.6,Vince Vaughn,39983,Robert Bloch,1998
2680,1.70E+07,Dimension Films,USA,Steve Miner,Horror,55041738,Halloween H20: 20 Years Later,R,05/08/1998,86,5.7,Jamie Lee Curtis,52529,Debra Hill,1998
2681,7.00E+07,Caravan Pictures,USA,Ivan Reitman,Action,74329966,Six Days Seven Nights,PG-13,12/06/1998,98,5.8,Harrison Ford,64070,Michael Browning,1998
2684,1.50E+07,Metro-Goldwyn-Mayer (MGM),Australia,David Nutter,Horror,17411331,Perturbados,R,24/07/1998,84,5.5,James Marsden,18255,Scott Rosenberg,1998
2685,1.30E+08,Centropolis Film Productions,USA,Roland Emmerich,Action,136314294,Godzilla,PG-13,20/05/1998,139,5.3,Matthew Broderick,160038,Dean Devlin,1998
2686,4.00E+07,New Line Cinema,USA,Gary Ross,Comedy,40568025,Pleasantville,PG-13,23/10/1998,124,7.5,Tobey Maguire,108475,Gary Ross,1998
2687,3.00E+07,Twentieth Century Fox Film Corporation,USA,Forest Whitaker,Drama,60053195,Hope Floats,PG-13,29/05/1998,114,5.9,Sandra Bullock,20726,Steven Rogers,1998
2688,6.00E+07,Warner Bros.,UK,Paul W.S. Anderson,Action,14567883,Soldier,R,23/10/1998,99,6,Kurt Russell,46241,David Webb Peoples,1998
2689,4.00E+07,Universal Pictures,USA,Joe Dante,Action,54682547,Small Soldiers,PG-13,10/07/1998,108,6.1,Kirsten Dunst,81216,Gavin Scott,1998
2690,1.20E+07,Miramax,USA,John Dahl,Crime,22905674,Rounders,R,11/09/1998,121,7.4,Matt Damon,128159,David Levien,1998
2691,1.00E+07,Columbia Pictures Corporation,USA,Harry Elfont,Comedy,25339117,Can't Hardly Wait,PG-13,12/06/1998,100,6.5,Jennifer Love Hewitt,39581,Deborah Kaplan,1998
2692,6.00E+07,Warner Bros.,USA,Stuart Baird,Action,57167405,U.S. Marshals,PG-13,06/03/1998,131,6.5,Tommy Lee Jones,82606,Roy Huggins,1998
2693,6000,Next Wave Films,UK,Christopher Nolan,Crime,48482,Following,R,05/11/1999,69,7.6,Jeremy Theobald,72113,Christopher Nolan,1998
2694,3.00E+07,PolyGram Filmed Entertainment,UK,Shekhar Kapur,Biography,30082699,Elizabeth,R,19/02/1999,124,7.5,Cate Blanchett,80195,Michael Hirst,1998
2695,2.50E+07,Art Linson Productions,USA,Alfonso Cuarón,Drama,26333044,Great Expectations,R,30/01/1998,111,6.8,Ethan Hawke,45205,Charles Dickens,1998
2696,8.00E+06,Robert Simonds Productions,USA,Tamra Davis,Comedy,17278980,Half Baked,R,16/01/1998,82,6.7,Dave Chappelle,50868,Dave Chappelle,1998
2697,1.40E+07,Phoenix Pictures,USA,Jamie Blanks,Horror,38072438,Urban Legend,R,25/09/1998,99,5.5,Jared Leto,50594,Silvio Horta,1998
2698,5.80E+07,Paramount Pictures,USA,Jonathan Frakes,Action,70117571,Star Trek: Insurrection,PG,11/12/1998,103,6.4,Patrick Stewart,60249,Gene Roddenberry,1998
2699,2.80E+07,Universal Pictures,USA,John Landis,Action,13979599,Blues Brothers 2000,PG-13,06/02/1998,123,4.8,Dan Aykroyd,27480,Dan Aykroyd,1998
2700,1.70E+07,Broadway Pictures,USA,John Fortenberry,Comedy,30324946,A Night at the Roxbury,PG-13,02/10/1998,82,6.2,Chris Kattan,50769,Steve Koren,1998
2701,5.00E+07,TriStar Pictures,USA,Chris Columbus,Comedy,91137662,Stepmom,PG-13,25/12/1998,124,6.7,Julia Roberts,50401,Gigi Levangie,1998
2702,1.40E+08,Warner Bros.,USA,Richard Donner,Action,130444603,Lethal Weapon 4,R,10/07/1998,127,6.6,Mel Gibson,135019,Shane Black,1998
2703,9.00E+07,Universal Pictures,USA,Tom Shadyac,Biography,135026902,Patch Adams,PG-13,25/12/1998,115,6.7,Robin Williams,86765,Patch Adams,1998
2704,6.00E+07,Warner Bros.,USA,Jeremiah S. Chechik,Action,23322832,The Avengers,PG-13,14/08/1998,89,3.7,Ralph Fiennes,36811,Sydney Newman,1998
2705,71500000,Twentieth Century Fox Film Corporation,USA,Betty Thomas,Comedy,144156605,Doctor Dolittle,PG-13,26/06/1998,85,5.3,Eddie Murphy,79986,Hugh Lofting,1998
2706,1.05E+08,DreamWorks,USA,Eric Darnell,Animation,90757863,Antz,PG,02/10/1998,83,6.6,Woody Allen,131396,Todd Alcott,1998
2709,7.30E+07,Paramount Pictures,USA,Brian De Palma,Crime,55585389,Snake Eyes,R,07/08/1998,98,6,Nicolas Cage,67384,Brian De Palma,1998
2710,5.00E+07,Regency Enterprises,Germany,F. Gary Gray,Action,44484065,El mediador,R,29/07/1998,140,7.3,Samuel L. Jackson,113865,James DeMonaco,1998
2711,2.40E+07,Columbia Pictures,USA,Danny Cannon,Horror,40002112,I Still Know What You Did Last Summer,R,13/11/1998,100,4.6,Jennifer Love Hewitt,58906,Lois Duncan,1998
2712,6.60E+07,Twentieth Century Fox Film Corporation,USA,Rob Bowman,Drama,83898313,The X Files,PG-13,19/06/1998,121,7,David Duchovny,90546,Chris Carter,1998
2713,1.40E+07,Phoenix Pictures,USA,Bryan Singer,Crime,8838938,Apt Pupil,R,23/10/1998,111,6.7,Ian McKellen,30742,Stephen King,1998
2714,3.00E+06,Good Machine,USA,Todd Solondz,Comedy,2807390,Happiness,UNRATED,16/10/1998,134,7.8,Jane Adams,58551,Todd Solondz,1998
2715,5.50E+07,Atlas Entertainment,Germany,Brad Silberling,Drama,78685114,Un ángel enamorado,PG-13,10/04/1998,114,6.7,Nicolas Cage,100012,Wim Wenders,1998
2716,1.30E+07,Dollface,USA,Mark Christopher,Drama,16574731,54,R,28/08/1998,93,5.8,Ryan Phillippe,28791,Mark Christopher,1998
2717,1500000,Cinépix Film Properties (CFP),USA,Vincent Gallo,Comedy,2375097,Buffalo '66,R,26/06/1998,110,7.5,Vincent Gallo,39256,Vincent Gallo,1998
2718,6.00E+07,Warner Bros.,USA,Andrew Davis,Crime,67638368,A Perfect Murder,R,05/06/1998,107,6.5,Michael Douglas,68263,Frederick Knott,1998
2719,9.00E+06,Intermedia Films,UK,Peter Howitt,Comedy,11883495,Sliding Doors,PG-13,01/05/1998,99,6.8,Gwyneth Paltrow,55546,Peter Howitt,1998
2720,8.00E+07,Warner Bros.,USA,Barry Levinson,Drama,37020277,Sphere,PG-13,13/02/1998,134,6,Dustin Hoffman,87413,Michael Crichton,1998
2721,7.00E+07,Twentieth Century Fox Film Corporation,USA,Edward Zwick,Action,40981289,The Siege,R,06/11/1998,116,6.3,Denzel Washington,61043,Lawrence Wright,1998
2722,1.00E+07,Rhombus Media,Canada,François Girard,Drama,9473382,The Red Violin,R,11/06/1999,130,7.7,Carlo Cecchi,28172,Don McKellar,1998
2723,6.00E+07,Touchstone Pictures,USA,Robert Redford,Drama,75383563,The Horse Whisperer,PG-13,15/05/1998,170,6.6,Robert Redford,34250,Nick Evans,1998
2725,8.00E+06,Regency Enterprises,USA,Marshall Herskovitz,Biography,4530929,Dangerous Beauty,R,20/02/1998,111,7.3,Catherine McCormack,13477,Margaret Rosenthal,1998
2727,3.00E+07,Columbia Pictures Corporation,USA,Antoine Fuqua,Action,18967571,The Replacement Killers,R,06/02/1998,87,6.1,Yun-Fat Chow,24291,Ken Sanzel,1998
2728,2.40E+07,Paramount Pictures,USA,Igor Kovalyov,Animation,100494675,The Rugrats Movie,G,20/11/1998,79,5.9,Elizabeth Daily,15183,David N. Weiss,1998
2729,3.00E+07,Twentieth Century Fox Film Corporation,USA,Warren Beatty,Comedy,26525834,Bulworth,R,22/05/1998,108,6.8,Warren Beatty,22893,Warren Beatty,1998
2730,1300000,Nimbus Film Productions,Denmark,Thomas Vinterberg,Drama,1647780,The Celebration,R,19/06/1998,105,8.1,Ulrich Thomsen,69371,Thomas Vinterberg,1998
2731,1.00E+07,Initial Entertainment Group (IEG),USA,Peter Berg,Comedy,9801782,Very Bad Things,R,25/11/1998,100,6.3,Christian Slater,41062,Peter Berg,1998
2732,8.50E+07,Warner Bros.,USA,Troy Miller,Comedy,34545030,Jack Frost,PG,11/12/1998,101,5.3,Michael Keaton,26466,Mark Steven Johnson,1998
2734,4500000,New Line Cinema,USA,Ice Cube,Comedy,23031390,The Players Club,R,08/04/1998,104,5.7,LisaRaye McCoy,4688,Ice Cube,1998
2735,2.50E+07,Touchstone Pictures,USA,Spike Lee,Drama,21554585,He Got Game,R,01/05/1998,136,6.9,Denzel Washington,38487,Spike Lee,1998
2738,1.30E+07,Metro-Goldwyn-Mayer (MGM),Canada,Bob Saget,Comedy,9975684,Dirty Work,PG-13,12/06/1998,82,6.4,Norm MacDonald,20926,Frank Sebastiano,1998
2739,4.50E+07,Calimari Productions,USA,Stephen Sommers,Action,11203026,Deep Rising,R,30/01/1998,106,6,Treat Williams,28083,Stephen Sommers,1998
2742,1.70E+07,British Broadcasting Corporation (BBC),UK,Sam Raimi,Crime,16311763,A Simple Plan,R,22/01/1999,121,7.5,Bill Paxton,54106,Scott B. Smith,1998
2743,2500000,Zentropa Entertainments,Denmark,Lars von Trier,Comedy,7235,Los idiotas,R,21/05/1998,117,6.9,Bodil Jørgensen,25714,Lars von Trier,1998
2744,3.00E+07,Monarch Pictures,USA,Carl Franklin,Drama,23245840,One True Thing,R,18/09/1998,127,7,Meryl Streep,9970,Anna Quindlen,1998
2745,1.30E+07,TriStar Pictures,USA,Kirk Wong,Action,27052167,The Big Hit,R,24/04/1998,91,6.1,Mark Wahlberg,25792,Ben Ramsey,1998
2746,4.00E+07,Warner Bros.,USA,Frederik Du Chau,Animation,22717758,The Magic Sword: Quest for Camelot,G,15/05/1998,86,6.2,Jessalyn Gilsig,12174,Vera Chapman,1998
2747,3.00E+07,Hollywood Pictures,USA,Mark Steven Johnson,Comedy,18252684,Simon Birch,PG,11/09/1998,114,6.9,Ian Michael Smith,19073,Mark Steven Johnson,1998
2748,9.00E+07,RKO Pictures,USA,Ron Underwood,Action,50632037,Mighty Joe Young,PG,25/12/1998,114,5.6,Bill Paxton,24374,Merian C. Cooper,1998
2749,2.70E+07,Twentieth Century Fox Film Corporation,USA,Richard Linklater,Action,10297897,The Newton Boys,PG-13,27/03/1998,122,6,Matthew McConaughey,8995,Claude Stanush,1998
2750,2.00E+06,ShadowCatcher Entertainment,Canada,Chris Eyre,Comedy,6719300,Smoke Signals,PG-13,26/06/1998,89,7.2,Adam Beach,8559,Sherman Alexie,1998
2752,3.00E+06,Big Dog Films,Jamaica,Hype Williams,Crime,9630169,Belly,R,04/11/1998,96,6,Nas,7666,Anthony Bodden,1998
2753,1.20E+07,Sweetland Films,USA,Woody Allen,Comedy,5032496,Celebrity,R,20/11/1998,113,6.3,Kenneth Branagh,21644,Woody Allen,1998
2754,5.00E+06,Rysher Entertainment,USA,Don Roos,Comedy,5881367,The Opposite of Sex,R,22/05/1998,105,6.5,Christina Ricci,18791,Don Roos,1998
2757,7.50E+07,Touchstone Pictures,USA,Steven Zaillian,Drama,56702901,A Civil Action,PG-13,08/01/1999,115,6.5,John Travolta,24412,Jonathan Harr,1998
2759,3.00E+07,Oriental Light and Magic (OLM),Japan,Kunihiko Yuyama,Animation,85744662,Pokémon: The First Movie - Mewtwo Strikes Back,G,10/11/1999,96,6,Veronica Taylor,32118,Satoshi Tajiri,1998
2760,1.50E+07,Twentieth Century Fox Film Corporation,USA,Nicholas Hytner,Comedy,29106737,The Object of My Affection,R,17/04/1998,111,6,Jennifer Aniston,16506,Stephen McCauley,1998
2762,7.00E+07,British Broadcasting Corporation (BBC) Television,USA,Mikael Salomon,Action,19819494,Hard Rain,R,16/01/1998,97,5.8,Morgan Freeman,28397,Graham Yost,1998
2763,3500000,Lions Gate Films,USA,Bill Condon,Biography,6390032,Gods and Monsters,R,04/11/1998,105,7.5,Ian McKellen,26050,Christopher Bram,1998
2765,5.00E+06,Fox Searchlight Pictures,USA,Tamara Jenkins,Comedy,5480318,Slums of Beverly Hills,R,11/09/1998,91,6.6,Natasha Lyonne,10079,Tamara Jenkins,1998
2766,6.00E+06,Polar Entertainment,USA,John Waters,Comedy,2281761,Pecker,R,09/10/1998,87,6.4,Edward Furlong,12098,John Waters,1998
2767,1.40E+07,Hyperion Pictures,UK,Willard Carroll,Comedy,3956212,Playing by Heart,R,22/01/1999,121,7.2,Gillian Anderson,17129,Willard Carroll,1998
2768,2.00E+07,Twentieth Century Fox Film Corporation,USA,Kevin Rodney Sullivan,Comedy,37672350,How Stella Got Her Groove Back,R,14/08/1998,124,5.6,Angela Bassett,5794,Terry McMillan,1998
2770,8.00E+07,Harpo Films,USA,Jonathan Demme,Drama,22852487,Beloved,R,16/10/1998,172,5.9,Oprah Winfrey,6354,Toni Morrison,1998
2771,3.00E+06,Tomboy Films,UK,Kirk Jones,Comedy,24788807,Waking Ned Devine,PG,08/01/1999,91,7.3,Ian Bannen,22433,Kirk Jones,1998
2773,6.50E+07,Award Entertainment,France,Mike Nichols,Comedy,38966057,Escándalo,R,20/03/1998,143,6.7,John Travolta,24802,Joe Klein,1998
2774,5.00E+07,Mandalay Entertainment,USA,Barbet Schroeder,Action,13806137,Desperate Measures,R,30/01/1998,100,6.1,Michael Keaton,14476,David Klass,1998
2777,3.00E+07,Turner Pictures (I),USA,Christopher Guest,Adventure,6114928,Almost Heroes,PG-13,29/05/1998,90,5.8,Chris Farley,13764,Mark Nutter,1998
2779,1.00E+07,Tapestry Films,USA,Jim Abrahams,Comedy,19882538,Mafia!,PG-13,24/07/1998,87,5.5,Jay Mohr,13168,Jim Abrahams,1998
2780,8.00E+07,Kennedy Miller Productions,Australia,George Miller,Adventure,18319860,Babe el puerquito va a la ciudad,G,25/11/1998,97,5.8,Magda Szubanski,26946,George Miller,1998
2781,1.80E+07,Morgan Creek Productions,USA,John Warren,Comedy,3551208,Major League: Back to the Minors,PG-13,17/04/1998,100,4.5,Scott Bakula,6102,David S. Ward,1998
2783,8.00E+06,Castle Rock Entertainment,USA,Whit Stillman,Comedy,2987297,The Last Days of Disco,R,12/06/1998,113,6.6,Chloë Sevigny,10509,Whit Stillman,1998
2784,1.40E+07,Paramount Pictures,USA,Alan Cohn,Comedy,15062898,Dead Man on Campus,R,21/08/1998,96,6.1,Tom Everett Scott,12255,Anthony Abrams,1998
2788,2.50E+07,Enchanter Entertainment,USA,Robert Altman,Thriller,1534569,The Gingerbread Man,R,23/01/1998,114,5.7,Kenneth Branagh,9583,John Grisham,1998
2789,2.00E+07,Cinehaus,USA,Robert Benton,Crime,15030732,Twilight,R,06/03/1998,94,6.2,Paul Newman,8769,Robert Benton,1998
2790,2.50E+07,Cruise/Wagner Productions,USA,Robert Towne,Biography,777423,Without Limits,PG-13,11/09/1998,117,7.2,Billy Crudup,6061,Robert Towne,1998
2791,4500000,Chinese Bookie Pictures,USA,Larry Clark,Crime,1025234,Another Day in Paradise,R,1999,101,6.5,James Woods,7508,Eddie Little,1998
2793,1100000,Shooting Gallery,USA,John Pieplow,Horror,631221,Strangeland,R,02/10/1998,85,5,Kevin Gage,5935,Dee Snider,1998
2795,1.50E+07,Dimension Films,USA,Penelope Spheeris,Comedy,13035599,Senseless,R,20/02/1998,93,6,Marlon Wayans,11375,Greg Erb,1998
2796,3.50E+07,Knock Films A.V.V.,Aruba,Hark Tsui,Action,10076136,Knock Off,R,04/09/1998,91,4.8,Jean-Claude Van Damme,12179,Steven E. de Souza,1998
2797,2.30E+07,DreamWorks,USA,John Roberts,Adventure,27008669,Paulie,PG,17/04/1998,91,6.5,Gena Rowlands,12531,Laurie Craig,1998
2800,2.00E+07,Dieter Geissler Filmproduktion,USA,Carl Schenkel,Action,2147114,Tarzan and the Lost City,PG,24/04/1998,100,3.9,Casper Van Dien,1892,Edgar Rice Burroughs,1998
2802,1.20E+07,AMLF,UK,Gillies MacKinnon,Adventure,1262786,Hideous Kinky,R,13/01/1999,98,6.1,Kate Winslet,5757,Esther Freud,1998
2803,7.00E+06,Miramax,USA,M. Night Shyamalan,Comedy,258212,Wide Awake,PG,20/03/1998,88,6.1,Joseph Cross,3440,M. Night Shyamalan,1998
2806,1.50E+07,Polygram Filmed Entertainment,Canada,Steve Gomer,Adventure,11144518,Barney's Great Adventure,G,03/04/1998,76,2.9,George Hearn,2827,Stephen White,1998
2807,2900000,"Audiovisual Development Bureau, Ministerio da Cultura",Brazil,Walter Salles,Drama,5595428,Central Station,R,20/11/1998,113,8,Fernanda Montenegro,30487,Marcos Bernstein,1998
2812,6.00E+07,Caravan Pictures,USA,Stephen Herek,Comedy,12065985,Holy Man,PG,09/10/1998,114,4.9,Eddie Murphy,17120,Tom Schulman,1998
2814,5.00E+06,Castle Rock Entertainment,USA,Jake Kasdan,Comedy,1980338,Zero Effect,R,30/01/1998,116,7,Bill Pullman,12839,Jake Kasdan,1998
2817,1.90E+07,Twentieth Century Fox Film Corporation,USA,Dean Semler,Thriller,8041665,Firestorm,R,09/01/1998,89,4.6,Howie Long,3270,Chris Soth,1998
2823,3.00E+07,Walt Disney Pictures,USA,Arlene Sanford,Comedy,12213678,I'll Be Home for Christmas,PG,13/11/1998,86,5.4,Jonathan Taylor Thomas,7267,Tom Nursall,1998
2824,6.00E+06,HK Film Corporation,USA,Tony Cinciripini,Drama,9122,Hell's Kitchen,R,19/01/2001,95,4.9,Rosanna Arquette,2209,Tony Cinciripini,1998
2828,7.00E+05,Blue Streak Films,USA,David Moreton,Comedy,870751,Edge of Seventeen,NOT RATED,20/04/2000,99,6.8,Chris Stafford,4954,Todd Stephens,1998
2832,5.00E+06,Polygram Filmed Entertainment,USA,Neil LaBute,Comedy,4710749,Your Friends & Neighbors,R,21/08/1998,100,6.4,Amy Brenneman,7208,Neil LaBute,1998
2833,8.00E+06,Fade In Films,USA,David Dobkin,Comedy,1789892,Clay Pigeons,R,25/09/1998,104,6.6,Joaquin Phoenix,9721,Matthew L. Healy,1998
2841,1.00E+06,Andell Entertainment,USA,John Hamburg,Comedy,21210,Safe Men,R,07/08/1998,88,6,Sam Rockwell,2851,John Hamburg,1998
2843,1.50E+07,Baltimore Pictures,USA,Dean Parisot,Comedy,10443316,Home Fries,PG-13,25/11/1998,91,5,Drew Barrymore,7388,Vince Gilligan,1998
2844,2.40E+07,DIC Entertainment,USA,Steve Boyum,Comedy,4308981,Meet the Deedles,PG,27/03/1998,93,3.9,Paul Walker,2385,Jim Herzfeld,1998
2845,1.30E+07,Gotham Entertainment Group,USA,Daisy von Scherler Mayer,Comedy,8026971,Woo,R,08/05/1998,84,3.9,Jada Pinkett Smith,1586,David C. Johnson,1998
2847,2.00E+06,HSX Films,USA,Lance Mungia,Action,124494,Six-String Samurai,PG-13,18/09/1998,91,6.7,Jeffrey Falcon,5956,Jeffrey Falcon,1998
2854,3500000,Artisan Entertainment,USA,Neil Abramson,Comedy,9247881,Ringmaster,R,25/11/1998,90,3.2,Jerry Springer,4578,Jon Bernstein,1998
2857,1.00E+07,Initial Entertainment Group (IEG),USA,Predrag Antonijevic,Drama,12903,Savior,R,20/11/1998,103,7.3,Dennis Quaid,9097,Robert Orr,1998
2858,8.00E+05,38 Productions,France,Ziad Doueiri,Comedy,343229,West Beirut,PG-13,30/10/1998,105,7.8,Rami Doueiri,2545,Ziad Doueiri,1998
2861,6.30E+07,Fox 2000 Pictures,USA,David Fincher,Drama,37030102,Fight Club,R,15/10/1999,139,8.8,Brad Pitt,1492073,Chuck Palahniuk,1999
2862,1.50E+07,DreamWorks,USA,Sam Mendes,Drama,130096601,American Beauty,R,01/10/1999,122,8.4,Kevin Spacey,899755,Alan Ball,1999
2863,6.30E+07,Warner Bros.,USA,Lana Wachowski,Action,171479930,The Matrix,R,31/03/1999,136,8.7,Keanu Reeves,1339820,Lilly Wachowski,1999
2864,6.00E+07,Castle Rock Entertainment,USA,Frank Darabont,Crime,136801374,The Green Mile,R,10/12/1999,189,8.5,Tom Hanks,879924,Stephen King,1999
2865,1.10E+07,Universal Pictures,USA,Paul Weitz,Comedy,102561004,American Pie,R,09/07/1999,95,7,Jason Biggs,332271,Adam Herz,1999
2866,6.50E+07,Warner Bros.,UK,Stanley Kubrick,Drama,55691208,Eyes Wide Shut,R,16/07/1999,159,7.3,Tom Cruise,246014,Stanley Kubrick,1999
2867,8.00E+07,Universal Pictures,USA,Stephen Sommers,Action,155247825,The Mummy,PG-13,07/05/1999,124,7,Brendan Fraser,340714,Stephen Sommers,1999
2868,4.00E+07,Hollywood Pictures,USA,M. Night Shyamalan,Drama,293506292,The Sixth Sense,PG-13,06/08/1999,107,8.1,Bruce Willis,766528,M. Night Shyamalan,1999
2869,3.00E+07,Touchstone Pictures,USA,Gil Junger,Comedy,38176108,10 Things I Hate About You,PG-13,31/03/1999,97,7.2,Heath Ledger,244103,Karen McCullah,1999
2870,1.00E+08,Paramount Pictures,USA,Tim Burton,Fantasy,101071502,Sleepy Hollow,R,19/11/1999,105,7.4,Johnny Depp,284929,Washington Irving,1999
2871,1.15E+08,Lucasfilm,USA,George Lucas,Action,474544677,Star Wars: Episode I - The Phantom Menace,PG,19/05/1999,136,6.5,Ewan McGregor,584809,George Lucas,1999
2872,6.00E+07,Warner Bros.,USA,Renny Harlin,Action,73648142,Deep Blue Sea,R,28/07/1999,105,5.8,Thomas Jane,105864,Duncan Kennedy,1999
2873,1.00E+07,Twentieth Century Fox Film Corporation,USA,Mike Judge,Comedy,10824921,Enredos de oficina,R,19/02/1999,89,7.8,Ron Livingston,212640,Mike Judge,1999
2874,6.00E+06,American Zoetrope,USA,Sofia Coppola,Drama,4859475,The Virgin Suicides,R,19/05/2000,97,7.2,Kirsten Dunst,125166,Jeffrey Eugenides,1999
2875,10500000,Columbia Pictures Corporation,USA,Roger Kumble,Drama,38328567,Cruel Intentions,R,05/03/1999,97,6.8,Sarah Michelle Gellar,157466,Choderlos de Laclos,1999
2876,4.50E+07,DreamWorks,USA,Dean Parisot,Adventure,71583916,Galaxy Quest,PG,25/12/1999,102,7.3,Tim Allen,130142,David Howard,1999
2877,3.70E+07,Ghoulardi Film Company,USA,Paul Thomas Anderson,Drama,22455976,Magnolia,R,07/01/2000,188,8,Tom Cruise,253771,Paul Thomas Anderson,1999
2878,3.30E+07,New Line Cinema,USA,Jay Roach,Action,206040086,Austin Powers: The Spy Who Shagged Me,PG-13,11/06/1999,95,6.6,Mike Myers,191205,Mike Myers,1999
2879,2.50E+07,Fox 2000 Pictures,USA,Raja Gosnell,Comedy,55474756,Never Been Kissed,PG-13,09/04/1999,107,6,Drew Barrymore,72371,Abby Kohn,1999
2880,7.00E+06,Franchise Pictures,USA,Troy Duffy,Action,25812,The Boondock Saints,R,19/11/1999,108,7.9,Willem Dafoe,206785,Troy Duffy,1999
2881,4.00E+07,Columbia Pictures Corporation,USA,James Mangold,Biography,28871190,"Girl, Interrupted",R,14/01/2000,127,7.4,Winona Ryder,135410,Susanna Kaysen,1999
2882,9.00E+07,Pixar Animation Studios,USA,John Lasseter,Animation,245852179,Toy Story 2,G,24/11/1999,92,7.9,Tom Hanks,420432,John Lasseter,1999
