,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
5456,8.00E+07,Warner Bros.,USA,Eric Brevig,Animation,100246011,Yogi Bear,PG,17/12/2010,100,4.6,Dan Aykroyd,17533,J.R. Ventimilia,2010
5457,1.50E+07,Screen Gems,USA,Shana Feste,Drama,20218921,Country Strong,PG-13,07/01/2011,117,6.3,Garrett Hedlund,15478,Shana Feste,2010
5459,5.00E+05,Stacey Testro International,USA,Nick Tomnay,Comedy,48430,The Perfect Host,R,07/05/2011,100,6.8,David Hyde Pierce,21832,Nick Tomnay,2010
5461,1.00E+07,Ealing Studios,UK,John Landis,Comedy,4833,Burke and Hare,R,09/09/2011,91,6.2,Bill Bailey,17228,Piers Ashworth,2010
5465,2.50E+07,Aramid Entertainment Fund,USA,Taylor Hackford,Biography,134904,Love Ranch,R,06/01/2011,100,5.7,Helen Mirren,2558,Mark Jacobson,2010
5466,7200000,Audley Films,UK,Nigel Cole,Biography,1094798,Made in Dagenham,R,03/06/2011,113,7.2,Sally Hawkins,11904,William Ivory,2010
5467,4500000,10th Hole Productions,USA,Galt Niederhoffer,Comedy,103280,The Romantics,PG-13,26/05/2010,100,5.1,Katie Holmes,10547,Galt Niederhoffer,2010
5470,5.00E+06,Temple Hill Entertainment,USA,Dan Rush,Comedy,2711210,Everything Must Go,R,14/10/2011,97,6.4,Will Ferrell,43290,Dan Rush,2010
5471,4.50E+07,Rogue,New Zealand,Sngmoo Lee,Action,5664251,The Warrior's Way,R,03/12/2010,100,6.3,Dong-gun Jang,23178,Sngmoo Lee,2010
5472,2.50E+07,Rogue,USA,Wes Craven,Horror,14637490,My Soul to Take,R,08/10/2010,100,4.8,Max Thieriot,17312,Wes Craven,2010
5473,3.10E+07,CBS Films,USA,Tom Vaughan,Drama,11854694,Extraordinary Measures,PG,22/01/2010,106,6.5,Brendan Fraser,14980,Robert Nelson Jacobs,2010
5475,8.00E+05,ArieScope Pictures,USA,Adam Green,Comedy,62000,Hatchet II,R,2010-11,85,5.5,Danielle Harris,10103,Adam Green,2010
5476,5.00E+07,Twentieth Century Fox Film Corporation,USA,Tom Dey,Comedy,33644788,Marmaduke,PG,04/06/2010,100,4.2,Owen Wilson,12104,Tim Rasmussen,2010
5484,2.00E+07,Hyde Park Films,USA,Kevin Munroe,Action,1183354,Dylan Dog: Dead of Night,PG-13,29/04/2011,100,5.1,Brandon Routh,13559,Thomas Dean Donnelly,2010
5486,1.50E+07,An Olive Branch Productions,Canada,George Hickenlooper,Biography,1039869,Casino Jack,R,07/01/2011,108,6.2,Kevin Spacey,15443,Norman Snider,2010
5489,1.20E+07,Company Films,USA,Malcolm Venville,Comedy,101882,Henry's Crime,R,14/01/2011,108,6,Keanu Reeves,16513,Sacha Gervasi,2010
5493,8.50E+07,CD2 Films,USA,Brad Peyton,Action,43585753,Cats & Dogs: The Revenge of Kitty Galore,PG,30/07/2010,100,4.3,Bette Midler,11161,Ron J. Friedman,2010
5494,3.50E+07,Summit Entertainment,USA,Roger Kumble,Comedy,17596256,Furry Vengeance,PG,30/04/2010,100,3.8,Brendan Fraser,13245,Michael Carnes,2010
5498,1.00E+07,Herrick Entertainment,USA,Brad Anderson,Horror,22197,Vanishing on 7th Street,R,05/02/2011,92,4.9,Hayden Christensen,22864,Anthony Jaswinski,2010
5499,65000,Tiny Ponies,USA,Lena Dunham,Comedy,389804,Tiny Furniture,NOT RATED,30/03/2012,98,6.2,Lena Dunham,12702,Lena Dunham,2010
5500,2.00E+07,Lions Gate Family Entertainment,USA,Anthony Bell,Animation,25077977,Alpha and Omega,PG,17/09/2010,90,5.3,Hayden Panettiere,11636,Chris Denk,2010
5501,1.25E+08,Warner Bros.,USA,David Yates,Adventure,381011219,Harry Potter and the Deathly Hallows: Part 2,PG-13,15/07/2011,130,8.1,Daniel Radcliffe,608969,Steve Kloves,2011
5502,1.63E+08,Universal Pictures,USA,Jon Favreau,Action,100240551,Cowboys & Aliens,PG-13,29/07/2011,119,6,Daniel Craig,182868,Roberto Orci,2011
5503,2.50E+08,Walt Disney Pictures,USA,Rob Marshall,Action,241071802,Pirates of the Caribbean: On Stranger Tides,PG-13,20/05/2011,100,6.6,Johnny Depp,408968,Ted Elliott,2011
5504,1.50E+07,FilmDistrict,USA,Nicolas Winding Refn,Crime,35060689,Drive,R,16/09/2011,100,7.8,Ryan Gosling,472901,Hossein Amini,2011
5505,2.50E+07,DreamWorks,USA,Tate Taylor,Drama,169708112,The Help,PG-13,10/08/2011,146,8.1,Emma Stone,351321,Tate Taylor,2011
5506,5.00E+07,Carousel Productions (II),USA,Glenn Ficarra,Comedy,84351197,"Crazy, Stupid, Love.",PG-13,29/07/2011,100,7.4,Steve Carell,404694,Dan Fogelman,2011
5507,9.00E+07,Columbia Pictures,USA,David Fincher,Crime,102515793,The Girl with the Dragon Tattoo,R,21/12/2011,158,7.8,Daniel Craig,356094,Steven Zaillian,2011
5509,32500000,Universal Pictures,USA,Paul Feig,Comedy,169106725,Bridesmaids,R,13/05/2011,125,6.8,Kristen Wiig,232190,Kristen Wiig,2011
5510,8.20E+07,Warner Bros.,USA,Zack Snyder,Action,36392502,Sucker Punch,PG-13,25/03/2011,110,6.1,Emily Browning,207858,Zack Snyder,2011
5511,1.50E+08,Paramount Pictures,USA,Kenneth Branagh,Action,181030624,Thor,PG-13,06/05/2011,115,7,Chris Hemsworth,585830,Ashley Miller,2011
5513,1.40E+08,Paramount Pictures,USA,Joe Johnston,Action,176654505,Captain America: The First Avenger,PG-13,22/07/2011,124,6.9,Chris Evans,563504,Christopher Markus,2011
5514,2.50E+07,Lionsgate,USA,Gavin O'Connor,Drama,13657115,Warrior,PG-13,09/09/2011,140,8.2,Tom Hardy,365224,Gavin O'Connor,2011
5515,1.60E+08,Twentieth Century Fox Film Corporation,USA,Matthew Vaughn,Action,146408305,X-Men: First Class,PG-13,03/06/2011,132,7.8,James McAvoy,561501,Ashley Miller,2011
5516,2.00E+08,Warner Bros.,USA,Martin Campbell,Action,116601172,Green Lantern,PG-13,17/06/2011,114,5.6,Ryan Reynolds,235591,Greg Berlanti,2011
5517,2.70E+07,Relativity Media,USA,Neil Burger,Mystery,79249455,Limitless,PG-13,18/03/2011,105,7.4,Bradley Cooper,454361,Leslie Dixon,2011
5518,7.50E+07,Relativity Media,USA,Tarsem Singh,Action,83504017,Immortals,R,11/11/2011,110,6,Henry Cavill,144952,Charley Parlapanides,2011
5519,5.00E+07,Paramount Pictures,USA,J.J. Abrams,Mystery,127004179,Super 8,PG-13,10/06/2011,112,7,Elle Fanning,303656,J.J. Abrams,2011
5520,9.30E+07,Twentieth Century Fox Film Corporation,USA,Rupert Wyatt,Action,176760185,Rise of the Planet of the Apes,PG-13,05/08/2011,105,7.6,James Franco,439105,Rick Jaffa,2011
5521,6.00E+07,Screen Gems,USA,Scott Stewart,Action,29136626,Priest,PG-13,13/05/2011,87,5.7,Paul Bettany,102144,Cory Goodman,2011
5522,1.95E+08,Paramount Pictures,USA,Michael Bay,Action,352390543,Transformers: Dark of the Moon,PG-13,29/06/2011,154,6.3,Shia LaBeouf,345669,Ehren Kruger,2011
5523,4.00E+07,Regency Enterprises,USA,Andrew Niccol,Action,37520095,In Time,PG-13,28/10/2011,109,6.7,Justin Timberlake,324606,Andrew Niccol,2011
5524,5.00E+07,Twentieth Century Fox Film Corporation,USA,Cameron Crowe,Comedy,75624550,We Bought a Zoo,PG,23/12/2011,124,7.1,Matt Damon,118916,Aline Brosh McKenna,2011
5525,1.70E+07,Mediapro,Spain,Woody Allen,Comedy,56816662,Midnight in Paris,PG-13,10/06/2011,100,7.7,Owen Wilson,327869,Woody Allen,2011
5526,3.20E+07,Summit Entertainment,USA,Duncan Jones,Mystery,54712227,Source Code,PG-13,01/04/2011,93,7.5,Jake Gyllenhaal,414859,Ben Ripley,2011
5527,1.45E+08,Paramount Pictures,USA,Brad Bird,Action,209397903,Mission: Impossible - Ghost Protocol,PG-13,21/12/2011,132,7.4,Tom Cruise,388730,Bruce Geller,2011
5528,8.00E+07,Columbia Pictures,USA,Dennis Dugan,Comedy,103028109,Just Go with It,PG-13,11/02/2011,117,6.4,Adam Sandler,185840,Allan Loeb,2011
5529,4.00E+07,Lionsgate,USA,Brad Furman,Crime,58009200,The Lincoln Lawyer,R,18/03/2011,118,7.3,Matthew McConaughey,184728,John Romano,2011
